,listing_id,date,available,price
12343403,6918739,2018-08-04,f,
15180575,12808292,2018-12-30,f,
9971142,12217028,2018-10-09,f,
1033503,13903711,2018-08-30,f,
16523049,3416781,2018-06-04,f,
15127682,13360215,2018-06-13,f,
14592349,14433491,2019-01-17,f,
20184109,19234133,2018-04-02,f,
17496339,13876105,2018-11-23,f,
3167823,59959,2018-03-19,f,
2535560,3695166,2018-06-09,t,$49.00
20149634,16333949,2018-07-19,f,
3774683,1135062,2018-06-05,f,
9699138,19678622,2018-03-14,f,
7974886,2780747,2018-10-26,t,$75.00
13506878,9439991,2018-12-18,f,
17860667,12577983,2018-09-19,f,
16873314,11565186,2018-11-08,f,
9395495,4382452,2019-02-05,t,$106.00
9661119,19355823,2018-05-14,f,
1049152,20300042,2018-08-20,f,
8556037,22609208,2018-11-22,f,
5490839,1203304,2018-07-31,f,
13059289,21443959,2018-04-22,f,
16956555,15718712,2018-07-26,t,$56.00
7806570,14053142,2018-12-05,t,$82.00
14922733,4962868,2018-12-12,f,
16255574,4664552,2018-05-12,f,
21719473,1758586,2018-10-07,t,$144.00
11833134,13297415,2018-07-13,f,
2485644,13500837,2018-03-14,f,
1079477,9179633,2018-07-11,f,
9527805,15391533,2018-07-03,f,
8840755,15307308,2018-12-06,t,$105.00
21407268,992501,2019-02-02,f,
2803185,306538,2018-03-21,f,
7235505,12638095,2018-08-02,t,$59.00
4212940,9133885,2018-08-28,t,$110.00
2073867,4692812,2018-05-09,f,
17060339,7606115,2018-07-10,f,
6560595,19515379,2018-08-14,f,
9846405,16223490,2018-06-12,t,$270.00
4170744,21144123,2018-06-26,t,$178.00
2939505,16009915,2018-08-02,f,
19001887,2226445,2018-03-20,f,
386592,9853513,2018-11-14,f,
21563246,692069,2018-07-03,f,
13780409,4820288,2018-06-10,f,
21280634,1958315,2019-01-27,t,$111.00
9575648,14270629,2018-07-12,f,
7717823,15815495,2018-06-17,f,
9030635,625186,2018-09-07,f,
6916480,21259045,2018-12-01,f,
6875040,11831925,2018-12-28,f,
8390752,20011166,2018-10-13,f,
19732179,21180585,2018-06-01,f,
10254199,19687961,2019-01-12,t,$105.00
7660103,13665079,2018-07-12,f,
12682066,20080166,2018-09-26,f,
2675896,5859180,2018-12-16,f,
20521151,15997137,2018-08-22,t,$150.00
12842077,18906369,2018-05-29,f,
19024418,923424,2019-02-25,f,
18190587,8358242,2018-10-05,f,
924144,22316949,2018-04-11,f,
16295982,16551793,2018-05-27,t,$120.00
20369015,21695984,2019-02-09,t,$55.00
18159257,19260662,2018-06-19,t,$70.00
6755887,17819024,2018-11-25,f,
14548447,14871595,2018-06-02,f,
2438334,19355744,2018-10-24,f,
19169603,19276830,2018-06-26,f,
6645046,10003762,2018-06-20,f,
8386873,23145647,2018-04-08,f,
20113196,4063467,2018-07-06,f,
14309023,21720741,2018-05-18,t,$65.00
12034642,1880537,2018-07-22,f,
12047996,17550862,2018-11-04,f,
905273,20979681,2018-10-09,t,$50.00
9129979,3651083,2019-01-07,f,
20178692,23572849,2019-01-04,f,
19331374,1410115,2018-06-02,t,$59.00
18226177,22968067,2018-12-16,t,$67.00
11258581,7200919,2018-07-19,f,
20934209,23029480,2018-03-08,f,
19764839,12001166,2018-10-17,t,$69.00
8897945,21549638,2018-03-31,f,
20975886,16995792,2018-10-17,f,
11040032,2518914,2018-05-06,f,
21400351,16155111,2019-01-16,f,
13065934,17579146,2018-12-07,f,
14125640,8658610,2018-07-29,t,$270.00
8733063,3699519,2018-11-13,f,
20643866,2143577,2018-08-22,t,$36.00
8671688,4026728,2019-02-17,f,
10216667,23285605,2018-04-24,f,
5905545,22031327,2018-06-27,f,
15515575,15218909,2018-09-06,t,$173.00
10959538,19518859,2018-11-24,t,$495.00
6321338,11868298,2018-04-12,f,
1445405,19766636,2018-12-16,f,
21043206,5084942,2018-05-08,t,$65.00
5417467,18496220,2018-08-06,t,$79.00
5747642,1803866,2018-03-20,f,
4456371,7170291,2018-12-11,f,
19647759,19062269,2018-07-19,f,
13060024,372879,2018-04-17,f,
10780324,19269549,2019-01-15,t,$109.00
3113200,4232270,2018-11-11,f,
19666217,14189582,2019-02-18,f,
11345346,1732026,2018-11-17,t,$92.00
10452961,4568724,2018-11-16,f,
21221203,15699848,2018-11-24,f,
270216,13872181,2018-10-26,t,$25.00
19263215,10219037,2018-03-31,f,
2841029,11040748,2018-05-23,f,
10882956,18029794,2018-11-11,f,
5866644,20426034,2018-03-08,f,
953610,18952751,2018-12-30,f,
13615799,4115464,2018-06-27,f,
8877890,22317259,2018-03-11,t,$59.00
13643444,12745728,2018-11-10,f,
16817623,21595859,2018-07-02,f,
711691,19104894,2019-01-13,f,
14155097,6787535,2019-02-02,f,
6181890,7258709,2019-01-11,f,
5432034,7036032,2018-11-06,f,
16956325,19394852,2018-12-26,t,$98.00
18065373,4253934,2019-01-01,f,
14291593,18302333,2018-10-11,f,
11375506,23385770,2018-05-29,t,$196.00
5153196,13761167,2018-11-01,f,
3791511,11506806,2018-05-28,t,$79.00
20833671,4399965,2018-05-19,f,
9499947,2532925,2018-10-09,f,
17636827,8588042,2019-01-06,t,$100.00
16283100,505517,2018-10-01,t,$50.00
14816012,23422382,2018-05-14,t,$69.00
7511714,7722594,2019-02-21,f,
9009473,4428681,2018-06-04,f,
4438599,13838085,2018-07-13,f,
1264725,6606225,2019-03-06,f,
21141759,9103179,2018-05-31,f,
10134419,19634976,2018-08-10,f,
7802317,4353605,2018-10-05,t,$130.00
20607888,5314859,2018-03-18,t,$320.00
876513,7202985,2018-08-15,f,
20385281,17566548,2018-08-10,f,
11466525,6558030,2018-12-31,f,
4811345,12984038,2018-05-30,f,
3905916,15741295,2019-01-14,f,
6920865,13030402,2018-11-26,f,
6043125,405672,2018-07-19,f,
18866387,21746471,2018-06-13,f,
21033041,6787143,2018-11-07,f,
10512250,5639686,2018-04-15,f,
18479153,11189743,2018-12-13,t,$109.00
2595652,3352242,2018-05-01,f,
21762604,19745207,2018-06-14,f,
3459458,12752049,2018-03-18,f,
9950139,3945316,2018-07-10,f,
15005145,22076837,2018-03-13,f,
5249225,10154492,2018-08-04,f,
15315862,2164069,2018-09-06,t,$29.00
10666846,885706,2018-11-06,f,
21203391,22802668,2018-06-16,t,$85.00
18505253,20515256,2018-11-09,f,
4943905,17216981,2018-03-27,f,
14028278,8159177,2018-06-17,f,
5916855,12799489,2018-08-10,f,
12277833,22886564,2018-04-13,f,
5662569,857687,2018-04-17,t,$60.00
15683979,12668893,2018-11-23,f,
17461561,2638714,2018-04-14,f,
6833381,17694884,2018-08-02,f,
14624160,16300187,2018-12-26,t,$80.00
2199410,14198958,2018-05-25,f,
3893167,18543119,2018-11-05,f,
11533066,8332346,2018-07-31,f,
3805784,2779888,2018-05-16,t,$39.00
20458626,11410629,2019-02-10,f,
10844966,12551065,2018-10-21,f,
